State,Date,Total,Category
Alabama,1/12/2019,"  109,574,036 ",Beverages
Arizona,1/12/2019,"  109,101,595 ",Beverages
Arkansas,1/12/2019,"  58,049,432 ",Beverages
California,1/12/2019,"  444,766,891 ",Beverages
Colorado,1/12/2019,"  89,816,716 ",Beverages
Connecticut,1/12/2019,"  49,715,400 ",Beverages
Florida,1/12/2019,"  358,112,986 ",Beverages
Georgia,1/12/2019,"  198,967,927 ",Beverages
Illinois,1/12/2019,"  167,913,697 ",Beverages
Indiana,1/12/2019,"  117,489,219 ",Beverages
Iowa,1/12/2019,"  60,702,758 ",Beverages
Kansas,1/12/2019,"  48,255,943 ",Beverages
Kentucky,1/12/2019,"  91,340,443 ",Beverages
Louisiana,1/12/2019,"  94,697,655 ",Beverages
Maine,1/12/2019,"  25,031,693 ",Beverages
Maryland,1/12/2019,"  89,261,853 ",Beverages
Massachusetts,1/12/2019,"  98,820,411 ",Beverages
Michigan,1/12/2019,"  161,601,849 ",Beverages
Minnesota,1/12/2019,"  85,728,575 ",Beverages
Mississippi,1/12/2019,"  37,637,324 ",Beverages
Missouri,1/12/2019,"  101,366,118 ",Beverages
Nebraska,1/12/2019,"  16,673,878 ",Beverages
Nevada,1/12/2019,"  51,173,890 ",Beverages
New Hampshire,1/12/2019,"  30,014,723 ",Beverages
New Mexico,1/12/2019,"  34,731,555 ",Beverages
New York,1/12/2019,"  240,815,212 ",Beverages
North Carolina,1/12/2019,"  182,341,458 ",Beverages
Ohio,1/12/2019,"  194,452,564 ",Beverages
Oklahoma,1/12/2019,"  77,743,070 ",Beverages
Oregon,1/12/2019,"  58,257,574 ",Beverages
Pennsylvania,1/12/2019,"  197,064,569 ",Beverages
Rhode Island,1/12/2019,"  13,851,887 ",Beverages
South Carolina,1/12/2019,"  97,713,917 ",Beverages
South Dakota,1/12/2019,"  14,701,327 ",Beverages
Tennessee,1/12/2019,"  133,945,173 ",Beverages
Texas,1/12/2019,"  472,848,726 ",Beverages
Utah,1/12/2019,"  42,799,316 ",Beverages
Vermont,1/12/2019,"  10,140,664 ",Beverages
Virginia,1/12/2019,"  153,170,304 ",Beverages
Washington,1/12/2019,"  100,959,342 ",Beverages
West Virginia,1/12/2019,"  38,228,550 ",Beverages
Wisconsin,1/12/2019,"  84,291,416 ",Beverages
Wyoming,1/12/2019,"  11,479,225 ",Beverages
Alabama,3/11/2019,"  112,189,104 ",Beverages
Arizona,3/11/2019,"  115,424,159 ",Beverages
Arkansas,3/11/2019,"  58,551,067 ",Beverages
California,3/11/2019,"  492,597,099 ",Beverages
Colorado,3/11/2019,"  92,194,329 ",Beverages
Connecticut,3/11/2019,"  48,505,473 ",Beverages
Florida,3/11/2019,"  389,736,361 ",Beverages
Georgia,3/11/2019,"  204,848,830 ",Beverages
Illinois,3/11/2019,"  169,707,087 ",Beverages
Indiana,3/11/2019,"  117,416,242 ",Beverages
Iowa,3/11/2019,"  62,361,904 ",Beverages
Kansas,3/11/2019,"  47,489,199 ",Beverages
Kentucky,3/11/2019,"  92,866,945 ",Beverages
Louisiana,3/11/2019,"  98,130,561 ",Beverages
Maine,3/11/2019,"  24,844,075 ",Beverages
Maryland,3/11/2019,"  88,673,878 ",Beverages
Massachusetts,3/11/2019,"  97,717,029 ",Beverages
Michigan,3/11/2019,"  160,641,810 ",Beverages
Minnesota,3/11/2019,"  86,713,264 ",Beverages
Mississippi,3/11/2019,"  36,599,073 ",Beverages
Missouri,3/11/2019,"  102,216,389 ",Beverages
Nebraska,3/11/2019,"  16,788,387 ",Beverages
Nevada,3/11/2019,"  55,645,617 ",Beverages
New Hampshire,3/11/2019,"  29,026,634 ",Beverages
New Mexico,3/11/2019,"  35,945,861 ",Beverages
New York,3/11/2019,"  238,220,084 ",Beverages
North Carolina,3/11/2019,"  188,325,661 ",Beverages
Ohio,3/11/2019,"  198,087,098 ",Beverages
Oklahoma,3/11/2019,"  78,606,324 ",Beverages
Oregon,3/11/2019,"  60,796,877 ",Beverages
Pennsylvania,3/11/2019,"  198,030,518 ",Beverages
Rhode Island,3/11/2019,"  13,856,303 ",Beverages
South Carolina,3/11/2019,"  101,518,325 ",Beverages
South Dakota,3/11/2019,"  14,897,185 ",Beverages
Tennessee,3/11/2019,"  136,685,980 ",Beverages
Texas,3/11/2019,"  481,478,333 ",Beverages
Utah,3/11/2019,"  43,344,284 ",Beverages
Vermont,3/11/2019,"  9,998,307 ",Beverages
Virginia,3/11/2019,"  156,968,155 ",Beverages
Washington,3/11/2019,"  101,445,077 ",Beverages
West Virginia,3/11/2019,"  39,411,931 ",Beverages
Wisconsin,3/11/2019,"  84,430,400 ",Beverages
Wyoming,3/11/2019,"  11,816,719 ",Beverages
Alabama,6/10/2019,"  129,106,730 ",Beverages
Arizona,6/10/2019,"  119,877,789 ",Beverages
Arkansas,6/10/2019,"  67,349,815 ",Beverages
California,6/10/2019,"  506,587,724 ",Beverages
Colorado,6/10/2019,"  100,423,016 ",Beverages
Connecticut,6/10/2019,"  53,879,306 ",Beverages
Florida,6/10/2019,"  397,812,264 ",Beverages
Georgia,6/10/2019,"  234,203,406 ",Beverages
Illinois,6/10/2019,"  181,091,999 ",Beverages
Indiana,6/10/2019,"  127,850,725 ",Beverages
Iowa,6/10/2019,"  63,444,415 ",Beverages
Kansas,6/10/2019,"  50,331,959 ",Beverages
Kentucky,6/10/2019,"  106,008,269 ",Beverages
Louisiana,6/10/2019,"  110,909,955 ",Beverages
Maine,6/10/2019,"  26,536,448 ",Beverages
Maryland,6/10/2019,"  97,008,034 ",Beverages
Massachusetts,6/10/2019,"  102,038,881 ",Beverages
Michigan,6/10/2019,"  162,440,135 ",Beverages
Minnesota,6/10/2019,"  86,019,275 ",Beverages
Mississippi,6/10/2019,"  44,056,171 ",Beverages
Missouri,6/10/2019,"  111,888,230 ",Beverages
Nebraska,6/10/2019,"  17,239,751 ",Beverages
Nevada,6/10/2019,"  59,598,259 ",Beverages
New Hampshire,6/10/2019,"  30,388,827 ",Beverages
New Mexico,6/10/2019,"  40,091,431 ",Beverages
New York,6/10/2019,"  258,592,907 ",Beverages
North Carolina,6/10/2019,"  212,919,688 ",Beverages
Ohio,6/10/2019,"  219,232,699 ",Beverages
Oklahoma,6/10/2019,"  85,463,186 ",Beverages
Oregon,6/10/2019,"  63,944,985 ",Beverages
Pennsylvania,6/10/2019,"  213,784,018 ",Beverages
Rhode Island,6/10/2019,"  14,853,671 ",Beverages
South Carolina,6/10/2019,"  114,383,017 ",Beverages
South Dakota,6/10/2019,"  15,271,120 ",Beverages
Tennessee,6/10/2019,"  155,674,238 ",Beverages
Texas,6/10/2019,"  541,078,907 ",Beverages
Utah,6/10/2019,"  46,002,034 ",Beverages
Vermont,6/10/2019,"  10,654,128 ",Beverages
Virginia,6/10/2019,"  172,066,423 ",Beverages
Washington,6/10/2019,"  105,763,908 ",Beverages
West Virginia,6/10/2019,"  45,374,729 ",Beverages
Wisconsin,6/10/2019,"  86,707,757 ",Beverages
Wyoming,6/10/2019,"  12,906,407 ",Beverages
Alabama,8/12/2019,"  108,083,724 ",Beverages
Arizona,8/12/2019,"  110,405,117 ",Beverages
Arkansas,8/12/2019,"  59,101,265 ",Beverages
California,8/12/2019,"  449,865,324 ",Beverages
Colorado,8/12/2019,"  92,967,545 ",Beverages
Connecticut,8/12/2019,"  50,434,583 ",Beverages
Florida,8/12/2019,"  369,604,455 ",Beverages
Georgia,8/12/2019,"  200,151,766 ",Beverages
Illinois,8/12/2019,"  173,166,397 ",Beverages
Indiana,8/12/2019,"  116,356,931 ",Beverages
Iowa,8/12/2019,"  63,074,140 ",Beverages
Kansas,8/12/2019,"  48,371,114 ",Beverages
Kentucky,8/12/2019,"  92,458,439 ",Beverages
Louisiana,8/12/2019,"  96,719,430 ",Beverages
Maine,8/12/2019,"  24,713,978 ",Beverages
Maryland,8/12/2019,"  87,415,041 ",Beverages
Massachusetts,8/12/2019,"  98,415,703 ",Beverages
Michigan,8/12/2019,"  160,909,877 ",Beverages
Minnesota,8/12/2019,"  84,846,098 ",Beverages
Mississippi,8/12/2019,"  36,069,396 ",Beverages
Missouri,8/12/2019,"  101,956,161 ",Beverages
Nebraska,8/12/2019,"  16,976,908 ",Beverages
Nevada,8/12/2019,"  51,787,525 ",Beverages
New Hampshire,8/12/2019,"  29,272,283 ",Beverages
New Mexico,8/12/2019,"  35,952,023 ",Beverages
New York,8/12/2019,"  240,233,769 ",Beverages
North Carolina,8/12/2019,"  190,647,025 ",Beverages
Ohio,8/12/2019,"  196,752,183 ",Beverages
Oklahoma,8/12/2019,"  79,333,316 ",Beverages
Oregon,8/12/2019,"  59,857,038 ",Beverages
Pennsylvania,8/12/2019,"  195,489,102 ",Beverages
Rhode Island,8/12/2019,"  14,346,931 ",Beverages
South Carolina,8/12/2019,"  99,273,973 ",Beverages
South Dakota,8/12/2019,"  14,563,391 ",Beverages
Tennessee,8/12/2019,"  135,426,365 ",Beverages
Texas,8/12/2019,"  471,710,635 ",Beverages
Utah,8/12/2019,"  42,990,859 ",Beverages
